Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Continents
Mouse,Radial,1,Clothing
Mouse,Radial,1,Food
Mouse,Radial,2,America
Mouse,Radial,2,Fruit
Mouse,Radial,2,Europe
Mouse,Radial,2,Bottoms
Mouse,Radial,2,Reptiles
Mouse,Radial,3,Orange
Mouse,Radial,3,Tophat
Mouse,Radial,3,USA
Mouse,Radial,3,Bacon
Mouse,Radial,3,Bacon
Mouse,Marking,1,Clothing
Mouse,Marking,1,Animals
Mouse,Marking,1,Food
Mouse,Marking,1,Animals
Mouse,Marking,1,Animals
Mouse,Marking,2,Fish
Mouse,Marking,2,Europe
Mouse,Marking,2,Tops
Mouse,Marking,2,Meat
Mouse,Marking,2,Tops
Mouse,Marking,3,Aligator
Mouse,Marking,3,Heels
Mouse,Marking,3,Beret
Mouse,Marking,3,Strawberry
Mouse,Marking,3,Leggings
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Continents
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Animals
Trackpad,Radial,2,Europe
Trackpad,Radial,2,Bottoms
Trackpad,Radial,2,Meat
Trackpad,Radial,2,Birds
Trackpad,Radial,2,Europe
Trackpad,Radial,3,Sombrero
Trackpad,Radial,3,Zimbabwe
Trackpad,Radial,3,Milk
Trackpad,Radial,3,Sombrero
Trackpad,Radial,3,Boots
Trackpad,Marking,1,Food
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Continents
Trackpad,Marking,2,Shoes
Trackpad,Marking,2,Fruit
Trackpad,Marking,2,Africa
Trackpad,Marking,2,Bottoms
Trackpad,Marking,2,Fruit
Trackpad,Marking,3,Catfish
Trackpad,Marking,3,Tophat
Trackpad,Marking,3,Jacket
Trackpad,Marking,3,T-Shirt
Trackpad,Marking,3,Parrot
